Treatment,ambari,ambari-farsecsq,ambari-farsectwo,ambari-farsec,ambari-clni,ambari-clnifarsecsq,ambari-clnifarsectwo,ambari-clnifarsec,camel,camel-farsecsq,camel-farsectwo,camel-farsec,camel-clni,camel-clnifarsecsq,camel-clnifarsectwo,camel-clnifarsec,chromium,chromium-farsecsq,chromium-farsectwo,chromium-farsec,chromium-clni,chromium-clnifarsecsq,chromium-clnifarsectwo,chromium-clnifarsec,derby,derby-farsecsq,derby-farsectwo,derby-farsec,derby-clni,derby-clnifarsecsq,derby-clnifarsectwo,derby-clnifarsec,wicket,wicket-farsecsq,wicket-farsectwo,wicket-farsec,wicket-clni,wicket-clnifarsecsq,wicket-clnifarsectwo,wicket-clnifarsec
CLAMI,-1.0,-1.0,15.0,-1.0,-1.0,-1.0,0.0,-1.0,22.0,22.0,21.0,22.0,12.0,22.0,22.0,22.0,-1.0,-1.0,95.0,121.0,121.0,-1.0,121.0,121.0,6.0,1.0,-1.0,-1.0,-1.0,1.0,5.0,16.0,59.0,59.0,59.0,-1.0,59.0,-1.0,-1.0,59.0
CLA+SUP,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,1.0,2.0,10.0,7.0,1.0,1.0,8.0,1.0,140.0,17.0,44.0,7.0,33.0,4.0,7.0,8.0,0.0,10.0,1.0,3.0,0.0,-1.0,1.0,194.0,24.0,51.0,176.0,116.0,91.0,167.0,176.0
CLA,20.0,7.0,21.0,20.0,10.0,14.0,7.0,-1.0,2.0,3.0,3.0,1.0,1.0,16.0,3.0,2.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,3.0,5.0,5.0,10.0,2.0,5.0,5.0,3.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
