Treatment,ambari,ambari-farsecsq,ambari-farsectwo,ambari-farsec,ambari-clni,ambari-clnifarsecsq,ambari-clnifarsectwo,ambari-clnifarsec,camel,camel-farsecsq,camel-farsectwo,camel-farsec,camel-clni,camel-clnifarsecsq,camel-clnifarsectwo,camel-clnifarsec,chromium,chromium-farsecsq,chromium-farsectwo,chromium-farsec,chromium-clni,chromium-clnifarsecsq,chromium-clnifarsectwo,chromium-clnifarsec,derby,derby-farsecsq,derby-farsectwo,derby-farsec,derby-clni,derby-clnifarsecsq,derby-clnifarsectwo,derby-clnifarsec,wicket,wicket-farsecsq,wicket-farsectwo,wicket-farsec,wicket-clni,wicket-clnifarsecsq,wicket-clnifarsectwo,wicket-clnifarsec
CLAMI,0.008113590263691683,0.028397565922920892,0.1359026369168357,0.06288032454361055,0.006085192697768763,0.15010141987829614,0.034482758620689655,0.08924949290060852,1.0,0.21369294605809128,1.0,0.17842323651452283,1.0,0.25103734439834025,1.0,1.0,0.4393191081275474,0.46473267801486456,0.4393191081275474,0.4393191081275474,0.29542076240709664,0.5255813953488372,0.29542076240709664,0.29542076240709664,0.024017467248908297,0.24890829694323144,0.24890829694323144,0.0,0.24890829694323144,1.0,0.24890829694323144,0.24890829694323144,0.020242914979757085,0.20445344129554655,0.048582995951417005,0.048582995951417005,0.012145748987854251,0.0,0.0020242914979757085,0.05668016194331984
CLA+SUP,0.15212981744421908,0.04056795131845842,0.2028397565922921,0.5314401622718052,0.11764705882352941,0.05070993914807302,0.2616632860040568,0.4421906693711968,0.22199170124481327,0.12448132780082988,0.1016597510373444,0.15767634854771784,0.2883817427385892,0.02074688796680498,0.03941908713692946,0.22821576763485477,0.48688563893550707,0.5309518101174778,0.4748022057060657,0.46904818988252217,0.2881323423639415,0.5077918964277152,0.2957084631982738,0.18249820187005514,0.32751091703056767,0.29912663755458513,0.4432314410480349,0.2074235807860262,0.37336244541484714,0.15065502183406113,0.2336244541484716,0.3799126637554585,0.0,0.0020242914979757085,0.0,0.0,0.0,0.0,0.0,0.0
CLA,0.18864097363083165,0.08316430020283976,0.02636916835699797,0.0872210953346856,0.0872210953346856,0.0872210953346856,0.08316430020283976,0.08316430020283976,0.035269709543568464,0.035269709543568464,0.035269709543568464,0.035269709543568464,0.035269709543568464,0.11618257261410789,0.035269709543568464,0.035269709543568464,0.2686166386957564,0.06900023975065932,0.2686166386957564,0.2686166386957564,0.11517621673459602,0.11517621673459602,0.06900023975065932,0.06900023975065932,0.2925764192139738,0.7838427947598253,0.2925764192139738,0.23799126637554585,0.12008733624454149,0.7794759825327511,0.23799126637554585,0.23799126637554585,0.03441295546558704,0.03441295546558704,0.03441295546558704,0.03441295546558704,0.03441295546558704,0.03441295546558704,0.03441295546558704,0.03441295546558704
