Treatment,ambari-clnifarsectwo,camel-clnifarsectwo,chromium-clnifarsectwo,derby-clnifarsectwo,wicket-clnifarsectwo
CLAMI,1.0,0.05555555555555555,1.0,0.23809523809523808,0.0
CLA+SUP,0.0,0.0,0.6782608695652174,0.5,0.0
CLA,0.0,0.16666666666666666,0.6782608695652174,0.11904761904761904,0.16666666666666666
