Treatment,ambari,ambari-clni,ambari-clnifarsec,ambari-clnifarsecsq,ambari-farsec,ambari-farsecsq,ambari-farsectwo,camel,camel-clni,camel-clnifarsec,camel-clnifarsecsq,camel-farsec,camel-farsecsq,camel-farsectwo,chromium,chromium-clni,chromium-clnifarsec,chromium-clnifarsecsq,chromium-farsec,chromium-farsecsq,chromium-farsectwo,derby,derby-clni,derby-clnifarsec,derby-clnifarsecsq,derby-farsec,derby-farsecsq,derby-farsectwo,wicket,wicket-clni,wicket-clnifarsec,wicket-clnifarsecsq,wicket-farsec,wicket-farsecsq,wicket-farsectwo
CLAMI,0.14814814814814814,0.0,0.0625,0.2222222222222222,0.13793103448275862,0.2222222222222222,0.2222222222222222,0.033707865168539325,0.030303030303030304,0.030303030303030304,0.036,0.01694915254237288,0.038461538461538464,0.04854368932038835,0.00684931506849315,0.00684931506849315,0.00684931506849315,0.00684931506849315,0.00684931506849315,0.006506180871828237,0.00684931506849315,0.5833333333333334,0.2631578947368421,0.6,0.06,0.5714285714285714,0.0,0.16666666666666666,0.07692307692307693,0.012,0.0,0.0,0.0,0.012,0.012
CLA+SUP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.06666666666666667,0.06521739130434782,0.1111111111111111,0.05555555555555555,0.25,0.07692307692307693,0.023255813953488372,0.027848101265822784,0.028409090909090908,0.021739130434782608,0.041666666666666664,0.03571428571428571,0.03977272727272727,0.11320754716981132,0.125,0.0,0.2608695652173913,0.2564102564102564,0.19696969696969696,0.12790697674418605,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0
CLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.03499469777306469,0.03499469777306469,0.03499469777306469,0.03499469777306469,0.03499469777306469,0.03499469777306469,0.03499469777306469,0.23809523809523808,0.22727272727272727,0.22727272727272727,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
