Treatment,ambari,ambari-farsecsq,ambari-farsectwo,ambari-farsec,ambari-clni,ambari-clnifarsecsq,ambari-clnifarsectwo,ambari-clnifarsec,camel,camel-farsecsq,camel-farsectwo,camel-farsec,camel-clni,camel-clnifarsecsq,camel-clnifarsectwo,camel-clnifarsec,chromium,chromium-farsecsq,chromium-farsectwo,chromium-farsec,chromium-clni,chromium-clnifarsecsq,chromium-clnifarsectwo,chromium-clnifarsec,derby,derby-farsecsq,derby-farsectwo,derby-farsec,derby-clni,derby-clnifarsecsq,derby-clnifarsectwo,derby-clnifarsec,wicket,wicket-farsecsq,wicket-farsectwo,wicket-farsec,wicket-clni,wicket-clnifarsecsq,wicket-clnifarsectwo,wicket-clnifarsec
CLAMI,0.0,0.2222222222222222,0.014,0.014,0.014,0.014,0.14814814814814814,0.014,0.030303030303030304,0.036,0.036,0.033707865168539325,0.0,0.036,0.036,0.030303030303030304,0.004524155760219745,0.006560065600656006,0.00684931506849315,0.004524155760219745,0.006560065600656006,0.006506180871828237,0.006560065600656006,0.006560065600656006,0.09195402298850575,0.088,0.088,0.09411764705882353,0.11578947368421053,0.084,0.084,0.11538461538461539,0.14285714285714285,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0
CLA+SUP,0.01384083044982699,0.0,0.005813953488372093,0.0,0.0,0.0,0.0,0.008,0.03333333333333333,0.05063291139240506,0.07407407407407407,0.03870967741935484,0.029850746268656716,0.16666666666666666,0.06451612903225806,0.0380952380952381,0.00850873264666368,0.008608971454463071,0.007984581497797356,0.007824064284203848,0.009108341323106424,0.009030347890451517,0.00803585226394684,0.00984251968503937,0.13924050632911392,0.11458333333333333,0.10648148148148148,0.13533834586466165,0.10552763819095477,0.1048951048951049,0.11428571428571428,0.1411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLA,0.010526315789473684,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.15,0.15,0.15,0.10526315789473684,0.15,0.15,0.15,0.08695652173913043,0.015151515151515152,0.019754768392370572,0.010946327683615819,0.010946327683615819,0.015977058582548137,0.02506265664160401,0.0187624750499002,0.0187624750499002,0.20454545454545456,0.1015625,0.2028985507246377,0.16793893129770993,0.2028985507246377,0.1015625,0.2028985507246377,0.18181818181818182,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
