Treatment,ambari,ambari-clni,ambari-clnifarsec,ambari-clnifarsecsq,ambari-farsec,ambari-farsecsq,ambari-farsectwo,camel,camel-clni,camel-clnifarsec,camel-clnifarsecsq,camel-farsec,camel-farsecsq,camel-farsectwo,chromium,chromium-clni,chromium-clnifarsec,chromium-clnifarsecsq,chromium-farsec,chromium-farsecsq,chromium-farsectwo,derby,derby-clni,derby-clnifarsec,derby-clnifarsecsq,derby-farsec,derby-farsecsq,derby-farsectwo,wicket,wicket-clni,wicket-clnifarsec,wicket-clnifarsecsq,wicket-farsec,wicket-farsecsq,wicket-farsectwo
CLAMI,0.006085192697768763,0.018255578093306288,0.028397565922920892,0.028397565922920892,0.008113590263691683,0.028397565922920892,0.028397565922920892,0.01037344398340249,0.024896265560165973,1.0,0.2053941908713693,0.022821576763485476,0.17634854771784234,0.14522821576763487,1.0,0.02781107648046032,0.02781107648046032,0.0,0.02781107648046032,0.02781107648046032,0.02781107648046032,0.0,0.0,0.043668122270742356,0.0,0.05458515283842795,0.0,0.24890829694323144,1.0,0.008097165991902834,1.0,0.20445344129554655,0.030364372469635626,0.20445344129554655,0.048582995951417005
CLA+SUP,0.010141987829614604,0.0,0.010141987829614604,0.13387423935091278,0.012170385395537525,0.11764705882352941,0.16024340770791076,0.05186721991701245,0.026970954356846474,0.026970954356846474,0.04771784232365145,0.08298755186721991,0.2676348547717842,0.13900414937759337,0.0004795013186286262,0.000767202109805802,0.0,0.00028770079117717575,0.0,0.000383601054902901,9.590026372572525e-05,0.004366812227074236,0.008733624454148471,0.0,0.4039301310043668,0.010917030567685589,0.45633187772925765,0.31004366812227074,0.020242914979757085,0.0,0.024291497975708502,0.15384615384615385,0.024291497975708502,0.0465587044534413,0.14979757085020243
CLA,0.02636916835699797,0.02636916835699797,0.02636916835699797,0.19066937119675456,0.02636916835699797,0.1724137931034483,0.02636916835699797,0.035269709543568464,0.035269709543568464,0.035269709543568464,0.3236514522821577,0.035269709543568464,0.035269709543568464,0.035269709543568464,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.034934497816593885,0.034934497816593885,0.034934497816593885,0.9432314410480349,0.034934497816593885,0.9432314410480349,0.15065502183406113,0.03441295546558704,0.03441295546558704,0.03441295546558704,0.20445344129554655,0.03441295546558704,0.03441295546558704,0.08097165991902834
