Treatment,ambari,ambari-farsecsq,ambari-farsectwo,ambari-farsec,ambari-clni,ambari-clnifarsecsq,ambari-clnifarsectwo,ambari-clnifarsec,camel,camel-farsecsq,camel-farsectwo,camel-farsec,camel-clni,camel-clnifarsecsq,camel-clnifarsectwo,camel-clnifarsec,chromium,chromium-farsecsq,chromium-farsectwo,chromium-farsec,chromium-clni,chromium-clnifarsecsq,chromium-clnifarsectwo,chromium-clnifarsec,derby,derby-farsecsq,derby-farsectwo,derby-farsec,derby-clni,derby-clnifarsecsq,derby-clnifarsectwo,derby-clnifarsec,wicket,wicket-farsecsq,wicket-farsectwo,wicket-farsec,wicket-clni,wicket-clnifarsecsq,wicket-clnifarsectwo,wicket-clnifarsec
CLAMI,0.0,0.32,0.1111111111111111,0.027613412228796843,0.0,0.027613412228796843,0.2857142857142857,0.14545454545454545,0.06949806949806948,0.14492753623188404,0.06949806949806948,0.056074766355140186,0.06949806949806948,0.06949806949806948,0.06949806949806948,0.06949806949806948,0.012852093820284889,0.012839717526214423,0.012852093820284889,0.012852093820284889,0.008883248730964468,0.008987956138774041,0.008883248730964468,0.008883248730964468,0.17441860465116282,0.13173652694610777,0.14035087719298245,0.0,0.13173652694610777,0.15498154981549817,0.13173652694610777,0.13173652694610777,0.10526315789473684,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0
CLA+SUP,0.03333333333333333,0.0,0.0,0.022641509433962263,0.0,0.0,0.0,0.026315789473684213,0.06201550387596899,0.09411764705882353,0.1038961038961039,0.07079646017699114,0.04968944099378882,0.09999999999999999,0.08064516129032259,0.06451612903225806,0.015360983102918585,0.014199503017394392,0.015453194650817235,0.014974883897260923,0.01748138556167044,0.014674681753889677,0.01720430107526882,0.018696311268317334,0.18867924528301885,0.20606060606060608,0.17164179104477612,0.20895522388059704,0.18410041841004185,0.20833333333333334,0.203125,0.18421052631578944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLA,0.0196078431372549,0.04081632653061224,0.0,0.02150537634408602,0.03508771929824562,0.0392156862745098,0.04081632653061224,0.0196078431372549,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.10256410256410256,0.15789473684210525,0.15789473684210525,0.021456999480879046,0.03663929248262793,0.021456999480879046,0.021456999480879046,0.036661466458658344,0.030516431924882636,0.04405286343612334,0.036661466458658344,0.2222222222222222,0.17312072892938496,0.2222222222222222,0.254335260115607,0.2522522522522523,0.1739130434782609,0.254335260115607,0.2522522522522523,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
