Treatment,ambari,ambari-farsecsq,ambari-farsectwo,ambari-farsec,ambari-clni,ambari-clnifarsecsq,ambari-clnifarsectwo,ambari-clnifarsec,camel,camel-farsecsq,camel-farsectwo,camel-farsec,camel-clni,camel-clnifarsecsq,camel-clnifarsectwo,camel-clnifarsec,chromium,chromium-farsecsq,chromium-farsectwo,chromium-farsec,chromium-clni,chromium-clnifarsecsq,chromium-clnifarsectwo,chromium-clnifarsec,derby,derby-farsecsq,derby-farsectwo,derby-farsec,derby-clni,derby-clnifarsecsq,derby-clnifarsectwo,derby-clnifarsec,wicket,wicket-farsecsq,wicket-farsectwo,wicket-farsec,wicket-clni,wicket-clnifarsecsq,wicket-clnifarsectwo,wicket-clnifarsec
CLAMI,0.0973630831643002,0.028397565922920892,0.028397565922920892,0.034482758620689655,0.028397565922920892,0.028397565922920892,0.028397565922920892,0.028397565922920892,0.06639004149377593,0.13485477178423236,0.17634854771784234,0.06639004149377593,0.06639004149377593,0.13485477178423236,0.06846473029045644,1.0,0.0,1.0,0.0,0.0,0.02781107648046032,1.0,0.02781107648046032,0.02781107648046032,0.05458515283842795,1.0,0.07205240174672489,0.0,0.0,1.0,0.24890829694323144,0.0,0.01417004048582996,0.1700404858299595,0.1700404858299595,1.0,0.05263157894736842,0.0,0.0,0.09716599190283401
CLA+SUP,0.06288032454361055,0.32454361054766734,0.18661257606490872,0.058823529411764705,0.1359026369168357,0.12981744421906694,0.2515212981744422,0.0486815415821501,0.08091286307053942,0.2925311203319502,0.17012448132780084,0.21991701244813278,0.1037344398340249,0.1016597510373444,0.22821576763485477,0.1037344398340249,0.000767202109805802,0.0036442100215775593,0.004651162790697674,0.000767202109805802,0.0008151522416686645,0.0025893071205945815,0.0018221050107887797,0.001006952769120115,0.08078602620087336,0.48253275109170307,0.3951965065502183,0.039301310043668124,0.07641921397379912,0.4672489082969432,0.31877729257641924,0.07641921397379912,0.044534412955465584,0.058704453441295545,0.09109311740890688,0.13157894736842105,0.044534412955465584,0.22874493927125505,0.41295546558704455,0.04048582995951417
CLA,0.02636916835699797,0.2880324543610548,0.0872210953346856,0.02636916835699797,0.1724137931034483,0.9249492900608519,0.4462474645030426,0.08316430020283976,0.035269709543568464,0.45228215767634855,0.3236514522821577,0.035269709543568464,0.08713692946058091,0.8838174273858921,0.23236514522821577,0.08713692946058091,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.034934497816593885,0.9432314410480349,0.21615720524017468,0.034934497816593885,0.034934497816593885,0.9432314410480349,0.21615720524017468,0.07641921397379912,0.03441295546558704,0.2145748987854251,0.5809716599190283,0.08097165991902834,0.08097165991902834,0.8340080971659919,0.8340080971659919,0.20445344129554655
