Treatment,ambari,ambari-farsecsq,ambari-farsectwo,ambari-farsec,ambari-clni,ambari-clnifarsecsq,ambari-clnifarsectwo,ambari-clnifarsec,camel,camel-farsecsq,camel-farsectwo,camel-farsec,camel-clni,camel-clnifarsecsq,camel-clnifarsectwo,camel-clnifarsec,chromium,chromium-farsecsq,chromium-farsectwo,chromium-farsec,chromium-clni,chromium-clnifarsecsq,chromium-clnifarsectwo,chromium-clnifarsec,derby,derby-farsecsq,derby-farsectwo,derby-farsec,derby-clni,derby-clnifarsecsq,derby-clnifarsectwo,derby-clnifarsec,wicket,wicket-farsecsq,wicket-farsectwo,wicket-farsec,wicket-clni,wicket-clnifarsecsq,wicket-clnifarsectwo,wicket-clnifarsec
CLAMI,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,0.3888888888888889,1.0,0.16666666666666666,1.0,0.3888888888888889,1.0,1.0,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.24347826086956523,0.43478260869565216,0.24347826086956523,0.24347826086956523,0.14285714285714285,0.2619047619047619,0.2619047619047619,0.0,0.2619047619047619,1.0,0.2619047619047619,0.2619047619047619,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
CLA+SUP,0.14285714285714285,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.42857142857142855,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.05555555555555555,0.16666666666666666,0.2222222222222222,0.6260869565217392,0.6782608695652174,0.6782608695652174,0.6086956521739131,0.45217391304347826,0.6695652173913044,0.4608695652173913,0.3652173913043478,0.4523809523809524,0.5238095238095238,0.5476190476190477,0.38095238095238093,0.4523809523809524,0.3333333333333333,0.42857142857142855,0.5238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLA,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.5391304347826087,0.30434782608695654,0.5391304347826087,0.5391304347826087,0.40869565217391307,0.3391304347826087,0.30434782608695654,0.30434782608695654,0.5238095238095238,0.9047619047619048,0.5238095238095238,0.5238095238095238,0.3333333333333333,0.9047619047619048,0.5238095238095238,0.5238095238095238,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
