Treatment,ambari,ambari-clni,ambari-clnifarsec,ambari-clnifarsecsq,ambari-farsec,ambari-farsecsq,ambari-farsectwo,camel,camel-clni,camel-clnifarsec,camel-clnifarsecsq,camel-farsec,camel-farsecsq,camel-farsectwo,chromium,chromium-clni,chromium-clnifarsec,chromium-clnifarsecsq,chromium-farsec,chromium-farsecsq,chromium-farsectwo,derby,derby-clni,derby-clnifarsec,derby-clnifarsecsq,derby-farsec,derby-farsecsq,derby-farsectwo,wicket,wicket-clni,wicket-clnifarsec,wicket-clnifarsecsq,wicket-farsec,wicket-farsecsq,wicket-farsectwo
CLAMI,0.0,0.0,0.32,0.027613412228796843,0.19047619047619044,0.32,0.32,0.06949806949806948,0.06949806949806948,0.06949806949806948,0.03305785123966942,0.056074766355140186,0.14492753623188404,0.06949806949806948,0.011444921316165951,0.011444921316165951,0.011444921316165951,0.011444921316165951,0.011444921316165951,0.011444921316165951,0.011444921316165951,0.1276595744680851,0.13872832369942198,0.13173652694610777,0.15498154981549817,0.16666666666666663,0.0,0.15498154981549817,0.10526315789473684,0.0,0.0,0.0,0.0,0.018518518518518517,0.0
CLA+SUP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06289308176100629,0.05405405405405406,0.07741935483870968,0.09523809523809525,0.06993006993006994,0.07692307692307693,0.125,0.015384615384615385,0.027027027027027032,0.02555608140085187,0.02469135802469136,0.01811445039110745,0.024074899687917966,0.03137254901960784,0.17543859649122806,0.1711229946524064,0.20689655172413793,0.19682539682539682,0.1643835616438356,0.20858895705521474,0.1970802919708029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLA,0.0,0.02150537634408602,0.0,0.0392156862745098,0.02150537634408602,0.04081632653061224,0.0,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.10256410256410256,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.062381852551984876,0.062381852551984876,0.062381852551984876,0.062381852551984876,0.062381852551984876,0.062381852551984876,0.062381852551984876,0.22988505747126436,0.2522522522522523,0.2522522522522523,0.1739130434782609,0.2522522522522523,0.17312072892938496,0.254335260115607,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
