Treatment,ambari-clnifarsectwo,camel-clnifarsectwo,chromium-clnifarsectwo,derby-clnifarsectwo,wicket-clnifarsectwo
CLAMI,0.027613412228796843,0.06949806949806948,0.011444921316165951,0.13173652694610777,0.0
CLA+SUP,0.0,0.0970873786407767,0.022560078469838155,0.16368286445012786,0.0
CLA,0.0,0.15789473684210525,0.062381852551984876,0.2522522522522523,0.08333333333333333
