Treatment,ambari,ambari-clni,ambari-clnifarsec,ambari-clnifarsecsq,ambari-farsec,ambari-farsecsq,ambari-farsectwo,camel,camel-clni,camel-clnifarsec,camel-clnifarsecsq,camel-farsec,camel-farsecsq,camel-farsectwo,chromium,chromium-clni,chromium-clnifarsec,chromium-clnifarsecsq,chromium-farsec,chromium-farsecsq,chromium-farsectwo,derby,derby-clni,derby-clnifarsec,derby-clnifarsecsq,derby-farsec,derby-farsecsq,derby-farsectwo,wicket,wicket-clni,wicket-clnifarsec,wicket-clnifarsecsq,wicket-farsec,wicket-farsecsq,wicket-farsectwo
CLAMI,0.0,0.0,0.2222222222222222,0.014,0.11428571428571428,0.2222222222222222,0.2222222222222222,0.036,0.036,0.036,0.019417475728155338,0.033707865168539325,0.08333333333333333,0.036,0.00684931506849315,0.00684931506849315,0.00684931506849315,0.006506180871828237,0.00684931506849315,0.006499837504062398,0.00684931506849315,0.8571428571428571,0.3,0.13793103448275862,0.0,0.2777777777777778,0.11904761904761904,0.3333333333333333,0.07692307692307693,0.0,0.0,0.0,0.0,0.00980392156862745,0.0
CLA+SUP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03614457831325301,0.03164556962025317,0.04,0.05,0.04,0.06349206349206349,0.09090909090909091,0.023809523809523808,0.047619047619047616,0.017241379310344827,0.020202020202020204,0.01597051597051597,0.015122873345935728,0.02214022140221402,0.13829787234042554,0.1450381679389313,0.0,0.0,0.08870967741935484,0.23076923076923078,0.14754098360655737,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLA,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.03499469777306469,0.03499469777306469,0.03499469777306469,0.03499469777306469,0.03499469777306469,0.03499469777306469,0.03499469777306469,0.22727272727272727,0.22727272727272727,0.23809523809523808,0.23809523809523808,0.2028985507246377,0.23809523809523808,0.23809523809523808,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
