Treatment,ambari,ambari-farsecsq,ambari-farsectwo,ambari-farsec,ambari-clni,ambari-clnifarsecsq,ambari-clnifarsectwo,ambari-clnifarsec,camel,camel-farsecsq,camel-farsectwo,camel-farsec,camel-clni,camel-clnifarsecsq,camel-clnifarsectwo,camel-clnifarsec,chromium,chromium-farsecsq,chromium-farsectwo,chromium-farsec,chromium-clni,chromium-clnifarsecsq,chromium-clnifarsectwo,chromium-clnifarsec,derby,derby-farsecsq,derby-farsectwo,derby-farsec,derby-clni,derby-clnifarsecsq,derby-clnifarsectwo,derby-clnifarsec,wicket,wicket-farsecsq,wicket-farsectwo,wicket-farsec,wicket-clni,wicket-clnifarsecsq,wicket-clnifarsectwo,wicket-clnifarsec
CLAMI,0.0,0.2222222222222222,0.060240963855421686,0.014,0.0,0.014,0.19047619047619047,0.08333333333333333,0.036,0.08333333333333333,0.036,0.033707865168539325,0.036,0.036,0.036,0.036,0.006506180871828237,0.006499837504062398,0.006506180871828237,0.006506180871828237,0.004524155760219745,0.004540913631822722,0.004524155760219745,0.004524155760219745,0.11538461538461539,0.088,0.09302325581395349,0.0,0.088,0.084,0.088,0.088,0.07692307692307693,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0
CLA+SUP,0.018018018018018018,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.013574660633484163,0.036036036036036036,0.05970149253731343,0.06779661016949153,0.042105263157894736,0.027972027972027972,0.16666666666666666,0.05970149253731343,0.03773584905660377,0.007766236287739054,0.007172957948534027,0.00781563126252505,0.007569950172479877,0.008906481939633844,0.007412699830311691,0.00875684128225176,0.009627894873796514,0.12209302325581395,0.12340425531914893,0.10176991150442478,0.14414414414414414,0.1116751269035533,0.1686746987951807,0.13071895424836602,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLA,0.010526315789473684,0.023809523809523808,0.0,0.011627906976744186,0.02,0.022727272727272728,0.023809523809523808,0.010526315789473684,0.15,0.15,0.15,0.15,0.15,0.06666666666666667,0.15,0.15,0.010946327683615819,0.019754768392370572,0.010946327683615819,0.010946327683615819,0.019191506737443853,0.015977058582548137,0.023744911804613297,0.019754768392370572,0.14102564102564102,0.09571788413098237,0.14102564102564102,0.16793893129770993,0.2028985507246377,0.09620253164556962,0.16793893129770993,0.16793893129770993,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
