Treatment,ambari,ambari-clni,ambari-clnifarsec,ambari-clnifarsecsq,ambari-farsec,ambari-farsecsq,ambari-farsectwo,camel,camel-clni,camel-clnifarsec,camel-clnifarsecsq,camel-farsec,camel-farsecsq,camel-farsectwo,chromium,chromium-clni,chromium-clnifarsec,chromium-clnifarsecsq,chromium-farsec,chromium-farsecsq,chromium-farsectwo,derby,derby-clni,derby-clnifarsec,derby-clnifarsecsq,derby-farsec,derby-farsecsq,derby-farsectwo,wicket,wicket-clni,wicket-clnifarsec,wicket-clnifarsecsq,wicket-farsec,wicket-farsecsq,wicket-farsectwo
CLAMI,0.0,0.014,0.014,0.014,0.014,0.2222222222222222,0.014,0.030303030303030304,0.036,0.036,0.036,0.033707865168539325,0.036,0.036,0.00684931506849315,0.00684931506849315,0.00684931506849315,0.006506180871828237,0.00684931506849315,0.006560065600656006,0.01081665765278529,0.09154929577464789,0.6666666666666666,0.07446808510638298,0.075,0.11363636363636363,0.12162162162162163,0.16901408450704225,0.14285714285714285,0.0,0.0,0.0,0.0,0.00980392156862745,0.0
CLA+SUP,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,0.041666666666666664,0.034482758620689655,0.04201680672268908,0.10810810810810811,0.038461538461538464,0.057971014492753624,0.06896551724137931,0.005719830447883152,0.02,0.021897810218978103,0.01791044776119403,0.011329755515802028,0.018867924528301886,0.016231474947071278,0.13157894736842105,0.12857142857142856,0.2,0.15384615384615385,0.10952380952380952,0.14150943396226415,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLA,0.010526315789473684,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.08695652173913043,0.15,0.15,0.15,0.15,0.03499469777306469,0.03499469777306469,0.03499469777306469,0.03499469777306469,0.03499469777306469,0.03499469777306469,0.03499469777306469,0.20689655172413793,0.23809523809523808,0.20689655172413793,0.23809523809523808,0.2222222222222222,0.23809523809523808,0.23809523809523808,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
