Treatment,ambari,ambari-farsecsq,ambari-farsectwo,ambari-farsec,ambari-clni,ambari-clnifarsecsq,ambari-clnifarsectwo,ambari-clnifarsec,camel,camel-farsecsq,camel-farsectwo,camel-farsec,camel-clni,camel-clnifarsecsq,camel-clnifarsectwo,camel-clnifarsec,chromium,chromium-farsecsq,chromium-farsectwo,chromium-farsec,chromium-clni,chromium-clnifarsecsq,chromium-clnifarsectwo,chromium-clnifarsec,derby,derby-farsecsq,derby-farsectwo,derby-farsec,derby-clni,derby-clnifarsecsq,derby-clnifarsectwo,derby-clnifarsec,wicket,wicket-farsecsq,wicket-farsectwo,wicket-farsec,wicket-clni,wicket-clnifarsecsq,wicket-clnifarsectwo,wicket-clnifarsec
CLAMI,0.0,15.0,4.0,-1.0,2.0,15.0,0.0,-1.0,22.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,-1.0,-1.0,-1.0,799.0,-1.0,-1.0,297.0,95.0,6.0,6.0,6.0,-1.0,-1.0,6.0,-1.0,-1.0,59.0,59.0,59.0,-1.0,59.0,59.0,-1.0,-1.0
CLA+SUP,-1.0,-1.0,11.0,-1.0,-1.0,1.0,-1.0,11.0,6.0,1.0,3.0,5.0,8.0,1.0,1.0,8.0,68.0,81.0,30.0,14.0,23.0,36.0,65.0,47.0,7.0,2.0,2.0,3.0,11.0,0.0,3.0,8.0,199.0,29.0,60.0,177.0,123.0,91.0,169.0,177.0
CLA,20.0,20.0,7.0,-1.0,-1.0,14.0,20.0,20.0,1.0,13.0,2.0,2.0,2.0,9.0,17.0,3.0,80.0,123.0,80.0,123.0,80.0,80.0,80.0,80.0,3.0,5.0,5.0,13.0,7.0,5.0,3.0,7.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
