Treatment,ambari,ambari-farsecsq,ambari-farsectwo,ambari-farsec,ambari-clni,ambari-clnifarsecsq,ambari-clnifarsectwo,ambari-clnifarsec,camel,camel-farsecsq,camel-farsectwo,camel-farsec,camel-clni,camel-clnifarsecsq,camel-clnifarsectwo,camel-clnifarsec,chromium,chromium-farsecsq,chromium-farsectwo,chromium-farsec,chromium-clni,chromium-clnifarsecsq,chromium-clnifarsectwo,chromium-clnifarsec,derby,derby-farsecsq,derby-farsectwo,derby-farsec,derby-clni,derby-clnifarsecsq,derby-clnifarsectwo,derby-clnifarsec,wicket,wicket-farsecsq,wicket-farsectwo,wicket-farsec,wicket-clni,wicket-clnifarsecsq,wicket-clnifarsectwo,wicket-clnifarsec
CLAMI,0.012170385395537525,0.028397565922920892,0.20081135902636918,0.028397565922920892,1.0,0.15010141987829614,0.04665314401622718,0.034482758620689655,0.06639004149377593,0.22821576763485477,1.0,0.17842323651452283,0.01037344398340249,0.13485477178423236,1.0,0.06639004149377593,0.29542076240709664,0.46473267801486456,0.08770079117717573,0.29542076240709664,0.46473267801486456,0.4393191081275474,0.46473267801486456,0.46473267801486456,0.3296943231441048,0.24890829694323144,0.1331877729257642,0.16812227074235808,0.18340611353711792,0.314410480349345,0.24890829694323144,0.24890829694323144,0.012145748987854251,0.20445344129554655,0.048582995951417005,0.048582995951417005,0.012145748987854251,0.0,0.0020242914979757085,0.06882591093117409
CLA+SUP,0.5273833671399595,0.030425963488843813,0.34685598377281945,0.07707910750507099,0.02231237322515213,0.030425963488843813,0.0,0.016227180527383367,0.1825726141078838,0.022821576763485476,0.1037344398340249,0.18464730290456433,0.2800829875518672,0.022821576763485476,0.12033195020746888,0.2095435684647303,0.2123231838887557,0.23883960680891872,0.2232078638216255,0.22498201870055143,0.19851354591225126,0.3209781826900024,0.20043155118676576,0.16883241428913928,0.14847161572052403,0.2052401746724891,0.42139737991266374,0.25109170305676853,0.36681222707423583,0.2685589519650655,0.27074235807860264,0.16812227074235808,0.0,0.0,0.0020242914979757085,0.0,0.0,0.0,0.0,0.0
CLA,0.0872210953346856,0.02636916835699797,0.02636916835699797,0.02636916835699797,0.08316430020283976,0.02636916835699797,0.02636916835699797,0.02636916835699797,0.035269709543568464,0.035269709543568464,0.035269709543568464,0.035269709543568464,0.035269709543568464,0.035269709543568464,0.035269709543568464,0.08713692946058091,0.1589546871253896,0.06900023975065932,0.2686166386957564,0.2686166386957564,0.11517621673459602,0.06900023975065932,0.11517621673459602,0.11517621673459602,0.12008733624454149,0.5021834061135371,0.12008733624454149,0.23799126637554585,0.15065502183406113,0.5021834061135371,0.12008733624454149,0.21615720524017468,0.03441295546558704,0.03441295546558704,0.03441295546558704,0.03441295546558704,0.03441295546558704,0.03441295546558704,0.03441295546558704,0.03441295546558704
