Treatment,ambari,ambari-farsecsq,ambari-farsectwo,ambari-farsec,ambari-clni,ambari-clnifarsecsq,ambari-clnifarsectwo,ambari-clnifarsec,camel,camel-farsecsq,camel-farsectwo,camel-farsec,camel-clni,camel-clnifarsecsq,camel-clnifarsectwo,camel-clnifarsec,chromium,chromium-farsecsq,chromium-farsectwo,chromium-farsec,chromium-clni,chromium-clnifarsecsq,chromium-clnifarsectwo,chromium-clnifarsec,derby,derby-farsecsq,derby-farsectwo,derby-farsec,derby-clni,derby-clnifarsecsq,derby-clnifarsectwo,derby-clnifarsec,wicket,wicket-farsecsq,wicket-farsectwo,wicket-farsec,wicket-clni,wicket-clnifarsecsq,wicket-clnifarsectwo,wicket-clnifarsec
CLAMI,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,22.0,21.0,22.0,12.0,9.0,7.0,22.0,-1.0,95.0,799.0,799.0,121.0,-1.0,799.0,95.0,0.0,0.0,-1.0,-1.0,0.0,6.0,-1.0,-1.0,59.0,72.0,72.0,59.0,59.0,-1.0,-1.0,-1.0
CLA+SUP,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,5.0,-1.0,6.0,3.0,-1.0,3.0,7.0,12.0,-1.0,-1.0,-1.0,2.0,1.0,-1.0,0.0,-1.0,3.0,-1.0,18.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
CLA,14.0,14.0,21.0,7.0,21.0,7.0,20.0,21.0,1.0,3.0,9.0,2.0,1.0,17.0,2.0,3.0,80.0,80.0,80.0,123.0,80.0,80.0,80.0,80.0,3.0,5.0,5.0,5.0,6.0,5.0,3.0,3.0,14.0,37.0,39.0,14.0,31.0,65.0,31.0,31.0
