Treatment,ambari-clnifarsectwo,camel-clnifarsectwo,chromium-clnifarsectwo,derby-clnifarsectwo,wicket-clnifarsectwo
CLAMI,0.014705882352941176,0.036,0.00684931506849315,0.12987012987012986,0.0
CLA+SUP,0.0,0.06349206349206349,0.01478494623655914,0.12195121951219512,0.0
CLA,0.0,0.15,0.03499469777306469,0.23809523809523808,0.05555555555555555
