Treatment,ambari,ambari-farsecsq,ambari-farsectwo,ambari-farsec,ambari-clni,ambari-clnifarsecsq,ambari-clnifarsectwo,ambari-clnifarsec,camel,camel-farsecsq,camel-farsectwo,camel-farsec,camel-clni,camel-clnifarsecsq,camel-clnifarsectwo,camel-clnifarsec,chromium,chromium-farsecsq,chromium-farsectwo,chromium-farsec,chromium-clni,chromium-clnifarsecsq,chromium-clnifarsectwo,chromium-clnifarsec,derby,derby-farsecsq,derby-farsectwo,derby-farsec,derby-clni,derby-clnifarsecsq,derby-clnifarsectwo,derby-clnifarsec,wicket,wicket-farsecsq,wicket-farsectwo,wicket-farsec,wicket-clni,wicket-clnifarsecsq,wicket-clnifarsectwo,wicket-clnifarsec
CLAMI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.35714285714285715,1.0,0.0,0.0,0.16666666666666666,1.0,1.0,0.0,1.0,1.0,0.16666666666666666,0.0
CLA+SUP,0.42857142857142855,0.0,0.0,0.2857142857142857,0.42857142857142855,0.0,0.0,0.42857142857142855,0.3888888888888889,0.2222222222222222,0.2222222222222222,0.16666666666666666,0.2777777777777778,0.16666666666666666,0.2777777777777778,0.5555555555555556,0.9130434782608695,0.9304347826086956,0.9739130434782609,0.9217391304347826,0.9826086956521739,0.9652173913043478,0.9565217391304348,0.9652173913043478,0.6666666666666666,0.5476190476190477,0.7857142857142857,0.5952380952380952,0.7380952380952381,0.5,0.8571428571428571,0.7380952380952381,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0
CLA,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2777777777777778,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.9304347826086956,0.8956521739130435,0.9304347826086956,0.9304347826086956,0.9304347826086956,0.8956521739130435,0.9304347826086956,0.9304347826086956,0.8333333333333334,0.9047619047619048,0.5238095238095238,0.6190476190476191,0.9047619047619048,0.9761904761904762,0.5952380952380952,0.6190476190476191,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
