Treatment,ambari,ambari-clni,ambari-clnifarsec,ambari-clnifarsecsq,ambari-farsec,ambari-farsecsq,ambari-farsectwo,camel,camel-clni,camel-clnifarsec,camel-clnifarsecsq,camel-farsec,camel-farsecsq,camel-farsectwo,chromium,chromium-clni,chromium-clnifarsec,chromium-clnifarsecsq,chromium-farsec,chromium-farsecsq,chromium-farsectwo,derby,derby-clni,derby-clnifarsec,derby-clnifarsecsq,derby-farsec,derby-farsecsq,derby-farsectwo,wicket,wicket-clni,wicket-clnifarsec,wicket-clnifarsecsq,wicket-farsec,wicket-farsecsq,wicket-farsectwo
CLAMI,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,0.7142857142857143,1.0,1.0,1.0,1.0,0.16666666666666666,0.3888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.07142857142857142,0.0,0.21428571428571427,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
CLA+SUP,0.14285714285714285,0.0,0.42857142857142855,0.0,0.5714285714285714,0.0,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.9043478260869565,0.8956521739130435,0.8782608695652174,0.9739130434782609,0.9130434782608695,0.8956521739130435,0.9043478260869565,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.5476190476190477,0.6666666666666666,0.5238095238095238,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLA,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.9304347826086956,0.9304347826086956,0.9304347826086956,0.9826086956521739,0.9304347826086956,0.8521739130434782,0.9304347826086956,0.6190476190476191,0.6190476190476191,0.7857142857142857,0.9047619047619048,0.6190476190476191,0.9047619047619048,0.5238095238095238,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
