Treatment,ambari,ambari-clni,ambari-clnifarsec,ambari-clnifarsecsq,ambari-farsec,ambari-farsecsq,ambari-farsectwo,camel,camel-clni,camel-clnifarsec,camel-clnifarsecsq,camel-farsec,camel-farsecsq,camel-farsectwo,chromium,chromium-clni,chromium-clnifarsec,chromium-clnifarsecsq,chromium-farsec,chromium-farsecsq,chromium-farsectwo,derby,derby-clni,derby-clnifarsec,derby-clnifarsecsq,derby-farsec,derby-farsecsq,derby-farsectwo,wicket,wicket-clni,wicket-clnifarsec,wicket-clnifarsecsq,wicket-farsec,wicket-farsecsq,wicket-farsectwo
CLAMI,0.23529411764705882,0.0,0.027613412228796843,0.25,0.2222222222222222,0.32,0.32,0.056074766355140186,0.0392156862745098,0.0392156862745098,0.06949806949806948,0.056074766355140186,0.06896551724137931,0.08264462809917356,0.011444921316165951,0.011444921316165951,0.011444921316165951,0.011444921316165951,0.011444921316165951,0.011444921316165951,0.011444921316165951,0.06521739130434782,0.17441860465116282,0.1518987341772152,0.15498154981549817,0.13173652694610777,0.15498154981549817,0.14035087719298245,0.10526315789473684,0.023715415019762848,0.01550387596899225,0.0,0.0,0.023715415019762848,0.023715415019762848
CLA+SUP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09302325581395349,0.07317073170731707,0.06593406593406594,0.10989010989010987,0.07874015748031496,0.0963855421686747,0.10526315789473684,0.03418803418803419,0.0310880829015544,0.02840909090909091,0.03466204506065858,0.018823529411764708,0.037383177570093455,0.023622047244094488,0.1506276150627615,0.17687074829931973,0.18253968253968253,0.2125,0.2,0.2336448598130841,0.18840579710144928,0.0,0.0,0.0,0.0,0.0,0.09523809523809522,0.0
CLA,0.0,0.0,0.0196078431372549,0.013333333333333332,0.0,0.0392156862745098,0.04081632653061224,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.10256410256410256,0.15789473684210525,0.125,0.125,0.062381852551984876,0.062381852551984876,0.062381852551984876,0.062381852551984876,0.062381852551984876,0.062381852551984876,0.062381852551984876,0.25,0.2699386503067485,0.2522522522522523,0.17083333333333334,0.25,0.17312072892938496,0.2699386503067485,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
