Treatment,ambari-clnifarsectwo,camel-clnifarsectwo,chromium-clnifarsectwo,derby-clnifarsectwo,wicket-clnifarsectwo
CLAMI,0.027613412228796843,0.03846153846153846,0.012839717526214423,0.13173652694610777,0.0
CLA+SUP,0.0,0.0,0.026544155181214904,0.1871345029239766,0.0
CLA,0.0,0.15789473684210525,0.046756282875511396,0.15873015873015875,0.08333333333333333
