Treatment,ambari-clnifarsectwo,camel-clnifarsectwo,chromium-clnifarsectwo,derby-clnifarsectwo,wicket-clnifarsectwo
CLAMI,0.5714285714285714,1.0,1.0,0.0,0.0
CLA+SUP,0.0,0.2222222222222222,0.8782608695652174,0.38095238095238093,0.0
CLA,0.0,0.16666666666666666,0.8956521739130435,0.3333333333333333,0.16666666666666666
