Treatment,ambari,ambari-farsecsq,ambari-farsectwo,ambari-farsec,ambari-clni,ambari-clnifarsecsq,ambari-clnifarsectwo,ambari-clnifarsec,camel,camel-farsecsq,camel-farsectwo,camel-farsec,camel-clni,camel-clnifarsecsq,camel-clnifarsectwo,camel-clnifarsec,chromium,chromium-farsecsq,chromium-farsectwo,chromium-farsec,chromium-clni,chromium-clnifarsecsq,chromium-clnifarsectwo,chromium-clnifarsec,derby,derby-farsecsq,derby-farsectwo,derby-farsec,derby-clni,derby-clnifarsecsq,derby-clnifarsectwo,derby-clnifarsec,wicket,wicket-farsecsq,wicket-farsectwo,wicket-farsec,wicket-clni,wicket-clnifarsecsq,wicket-clnifarsectwo,wicket-clnifarsec
CLAMI,0.0,0.32,0.027613412228796843,0.027613412228796843,0.027613412228796843,0.027613412228796843,0.23529411764705882,0.027613412228796843,0.0392156862745098,0.06949806949806948,0.06949806949806948,0.056074766355140186,0.0,0.06949806949806948,0.06949806949806948,0.0392156862745098,0.008883248730964468,0.012967277884712794,0.012852093820284889,0.008883248730964468,0.012967277884712794,0.012852093820284889,0.012967277884712794,0.012967277884712794,0.14814814814814814,0.1340782122905028,0.15498154981549817,0.12941176470588234,0.13173652694610777,0.13173652694610777,0.13173652694610777,0.17441860465116282,0.15384615384615383,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0
CLA+SUP,0.027027027027027025,0.0,0.011173184357541898,0.0,0.0,0.0,0.0,0.015564202334630349,0.05952380952380952,0.08247422680412371,0.1111111111111111,0.06936416184971099,0.052631578947368425,0.14285714285714285,0.09999999999999999,0.06504065040650407,0.016590264134468458,0.016780746301611835,0.015720287301802412,0.015276630883567299,0.01788796485171819,0.01767870868562644,0.015791071970847254,0.019068373740125308,0.1818181818181818,0.1621621621621622,0.17829457364341086,0.2057142857142857,0.17391304347826086,0.1751412429378531,0.17582417582417584,0.1889763779527559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLA,0.0196078431372549,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.125,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.125,0.029301924734271765,0.03663929248262793,0.021456999480879046,0.021456999480879046,0.030516431924882636,0.046756282875511396,0.03587786259541985,0.03587786259541985,0.2522522522522523,0.174496644295302,0.2522522522522523,0.2222222222222222,0.23255813953488372,0.174496644295302,0.2522522522522523,0.23255813953488372,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
