Treatment,ambari,ambari-farsecsq,ambari-farsectwo,ambari-farsec,ambari-clni,ambari-clnifarsecsq,ambari-clnifarsectwo,ambari-clnifarsec,camel,camel-farsecsq,camel-farsectwo,camel-farsec,camel-clni,camel-clnifarsecsq,camel-clnifarsectwo,camel-clnifarsec,chromium,chromium-farsecsq,chromium-farsectwo,chromium-farsec,chromium-clni,chromium-clnifarsecsq,chromium-clnifarsectwo,chromium-clnifarsec,derby,derby-farsecsq,derby-farsectwo,derby-farsec,derby-clni,derby-clnifarsecsq,derby-clnifarsectwo,derby-clnifarsec,wicket,wicket-farsecsq,wicket-farsectwo,wicket-farsec,wicket-clni,wicket-clnifarsecsq,wicket-clnifarsectwo,wicket-clnifarsec
CLAMI,0.006085192697768763,0.028397565922920892,0.028397565922920892,0.008113590263691683,0.006085192697768763,0.028397565922920892,0.028397565922920892,0.028397565922920892,0.01037344398340249,0.22821576763485477,0.0975103734439834,0.022821576763485476,0.01037344398340249,0.17427385892116182,0.06846473029045644,1.0,1.0,0.0,0.02781107648046032,1.0,0.02781107648046032,0.0,1.0,0.02781107648046032,0.0,0.24890829694323144,0.0,0.004366812227074236,0.0,1.0,0.0,0.0,0.012145748987854251,0.20445344129554655,0.048582995951417005,1.0,0.022267206477732792,0.0,0.0,0.01417004048582996
CLA+SUP,0.004056795131845842,0.1359026369168357,0.0872210953346856,0.008113590263691683,0.006085192697768763,0.0973630831643002,0.02636916835699797,0.002028397565922921,0.02074688796680498,0.07883817427385892,0.1016597510373444,0.03734439834024896,0.006224066390041493,0.1016597510373444,0.1950207468879668,0.016597510373443983,4.795013186286262e-05,0.000383601054902901,0.0,4.795013186286262e-05,0.0,4.795013186286262e-05,4.795013186286262e-05,0.0,0.002183406113537118,0.4192139737991266,0.1703056768558952,0.006550218340611353,0.004366812227074236,0.4890829694323144,0.24017467248908297,0.0,0.0,0.04251012145748988,0.11538461538461539,0.024291497975708502,0.0,0.10931174089068826,0.024291497975708502,0.004048582995951417
CLA,0.02636916835699797,0.09939148073022312,0.02636916835699797,0.02636916835699797,0.02636916835699797,0.2880324543610548,0.02636916835699797,0.02636916835699797,0.035269709543568464,0.08713692946058091,0.035269709543568464,0.035269709543568464,0.035269709543568464,0.15767634854771784,0.08713692946058091,0.035269709543568464,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.034934497816593885,0.9432314410480349,0.12008733624454149,0.034934497816593885,0.034934497816593885,0.9432314410480349,0.15065502183406113,0.034934497816593885,0.03441295546558704,0.08097165991902834,0.0951417004048583,0.03441295546558704,0.03441295546558704,0.39271255060728744,0.08097165991902834,0.03441295546558704
