Treatment,ambari,ambari-farsecsq,ambari-farsectwo,ambari-farsec,ambari-clni,ambari-clnifarsecsq,ambari-clnifarsectwo,ambari-clnifarsec,camel,camel-farsecsq,camel-farsectwo,camel-farsec,camel-clni,camel-clnifarsecsq,camel-clnifarsectwo,camel-clnifarsec,chromium,chromium-farsecsq,chromium-farsectwo,chromium-farsec,chromium-clni,chromium-clnifarsecsq,chromium-clnifarsectwo,chromium-clnifarsec,derby,derby-farsecsq,derby-farsectwo,derby-farsec,derby-clni,derby-clnifarsecsq,derby-clnifarsectwo,derby-clnifarsec,wicket,wicket-farsecsq,wicket-farsectwo,wicket-farsec,wicket-clni,wicket-clnifarsecsq,wicket-clnifarsectwo,wicket-clnifarsec
CLAMI,0.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,1.0,0.5714285714285714,0.5714285714285714,1.0,0.5555555555555556,1.0,0.2222222222222222,1.0,0.3888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2619047619047619,0.2857142857142857,0.2619047619047619,0.0,0.19047619047619047,0.2619047619047619,0.0,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
CLA+SUP,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.05555555555555555,0.2222222222222222,0.16666666666666666,0.2777777777777778,0.05555555555555555,0.2222222222222222,0.2777777777777778,0.6956521739130435,0.8695652173913043,0.9739130434782609,0.6782608695652174,0.9304347826086956,0.7043478260869566,0.8782608695652174,0.9130434782608695,0.40476190476190477,0.47619047619047616,0.5952380952380952,0.5,0.38095238095238093,0.2857142857142857,0.5,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLA,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.8260869565217391,0.40869565217391307,0.8956521739130435,0.5391304347826087,0.8956521739130435,0.8260869565217391,0.8956521739130435,0.8956521739130435,0.42857142857142855,0.6190476190476191,0.3333333333333333,0.5238095238095238,0.42857142857142855,0.6190476190476191,0.3333333333333333,0.5238095238095238,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
