Treatment,ambari-clnifarsectwo,camel-clnifarsectwo,chromium-clnifarsectwo,derby-clnifarsectwo,wicket-clnifarsectwo
CLAMI,0.014,0.029411764705882353,0.006560065600656006,0.088,0.0
CLA+SUP,0.0,0.0,0.012683916793505834,0.11602209944751381,0.0
CLA,0.0,0.15,0.02506265664160401,0.23809523809523808,0.05555555555555555
