Treatment,ambari,ambari-farsecsq,ambari-farsectwo,ambari-farsec,ambari-clni,ambari-clnifarsecsq,ambari-clnifarsectwo,ambari-clnifarsec,camel,camel-farsecsq,camel-farsectwo,camel-farsec,camel-clni,camel-clnifarsecsq,camel-clnifarsectwo,camel-clnifarsec,chromium,chromium-farsecsq,chromium-farsectwo,chromium-farsec,chromium-clni,chromium-clnifarsecsq,chromium-clnifarsectwo,chromium-clnifarsec,derby,derby-farsecsq,derby-farsectwo,derby-farsec,derby-clni,derby-clnifarsecsq,derby-clnifarsectwo,derby-clnifarsec,wicket,wicket-farsecsq,wicket-farsectwo,wicket-farsec,wicket-clni,wicket-clnifarsecsq,wicket-clnifarsectwo,wicket-clnifarsec
ST,0,0.25,0,0,0,0.15384615384615385,0.5,0,0,1.0,0,0,0,0.0,0.0,0,0,1.0,0.0,0,0.0,0.19444444444444445,0,0,1.0,0.11914893617021277,0.42857142857142855,1.0,1.0,0.084,0.5,0.7777777777777778,0,0,0,0,0,0,0,0
LS,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
LP,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
CT,0,0.1111111111111111,0,0,0,0.25,0.0,0,0,0.3333333333333333,0,0,0,0.1,1.0,0,0,0.5,0.2,0,0.3333333333333333,0.6666666666666666,0,0,1.0,0.12121212121212122,0.23333333333333334,0.6666666666666666,1.0,0.084,0.3142857142857143,0.6,0,0,0,0,0,0,0,0
