Treatment,ambari,ambari-farsecsq,ambari-farsectwo,ambari-farsec,ambari-clni,ambari-clnifarsecsq,ambari-clnifarsectwo,ambari-clnifarsec,camel,camel-farsecsq,camel-farsectwo,camel-farsec,camel-clni,camel-clnifarsecsq,camel-clnifarsectwo,camel-clnifarsec,chromium,chromium-farsecsq,chromium-farsectwo,chromium-farsec,chromium-clni,chromium-clnifarsecsq,chromium-clnifarsectwo,chromium-clnifarsec,derby,derby-farsecsq,derby-farsectwo,derby-farsec,derby-clni,derby-clnifarsecsq,derby-clnifarsectwo,derby-clnifarsec,wicket,wicket-farsecsq,wicket-farsectwo,wicket-farsec,wicket-clni,wicket-clnifarsecsq,wicket-clnifarsectwo,wicket-clnifarsec
CLAMI,1.0,0.5714285714285714,0.7142857142857143,1.0,0.0,1.0,1.0,1.0,1.0,0.3888888888888889,1.0,0.05555555555555555,1.0,1.0,0.2222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2619047619047619,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
CLA+SUP,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.2857142857142857,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.16666666666666666,0.2777777777777778,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.9217391304347826,0.8695652173913043,0.9130434782608695,0.9130434782608695,0.8869565217391304,0.9652173913043478,0.808695652173913,0.8956521739130435,0.7142857142857143,0.5238095238095238,0.6428571428571429,0.7142857142857143,0.6190476190476191,0.5238095238095238,0.5476190476190477,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLA,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.9304347826086956,0.8956521739130435,0.9304347826086956,0.9304347826086956,0.9304347826086956,0.9826086956521739,0.8956521739130435,0.9304347826086956,0.6190476190476191,0.9047619047619048,0.5238095238095238,0.6190476190476191,0.6190476190476191,0.9047619047619048,0.6190476190476191,0.7857142857142857,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
