Treatment,ambari,ambari-clni,ambari-clnifarsec,ambari-clnifarsecsq,ambari-farsec,ambari-farsecsq,ambari-farsectwo,camel,camel-clni,camel-clnifarsec,camel-clnifarsecsq,camel-farsec,camel-farsecsq,camel-farsectwo,chromium,chromium-clni,chromium-clnifarsec,chromium-clnifarsecsq,chromium-farsec,chromium-farsecsq,chromium-farsectwo,derby,derby-clni,derby-clnifarsec,derby-clnifarsecsq,derby-farsec,derby-farsecsq,derby-farsectwo,wicket,wicket-clni,wicket-clnifarsec,wicket-clnifarsecsq,wicket-farsec,wicket-farsecsq,wicket-farsectwo
CLAMI,0.0,0.027613412228796843,0.027613412228796843,0.027613412228796843,0.027613412228796843,0.32,0.027613412228796843,0.0392156862745098,0.06949806949806948,0.06949806949806948,0.06949806949806948,0.056074766355140186,0.06949806949806948,0.06949806949806948,0.01090822859852976,0.011444921316165951,0.011444921316165951,0.012852093820284889,0.011444921316165951,0.012967277884712794,0.020366598778004074,0.14130434782608695,0.10687022900763359,0.15498154981549817,0.13173652694610777,0.12865497076023394,0.1306532663316583,0.13173652694610777,0.15384615384615383,0.0,0.0,0.0,0.0,0.018518518518518517,0.0
CLA+SUP,0.023437500000000003,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.06896551724137932,0.05755395683453238,0.06521739130434784,0.07142857142857142,0.0784313725490196,0.08791208791208792,0.1038961038961039,0.01148961902842169,0.024539877300613498,0.0224,0.027480916030534354,0.017167381974248927,0.031999999999999994,0.01839503334099793,0.17021276595744678,0.1651376146788991,0.15384615384615383,0.1752577319587629,0.20253164556962022,0.20689655172413793,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLA,0.0196078431372549,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.15789473684210525,0.125,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.062381852551984876,0.062381852551984876,0.062381852551984876,0.062381852551984876,0.062381852551984876,0.062381852551984876,0.062381852551984876,0.2522522522522523,0.22988505747126436,0.23255813953488372,0.174496644295302,0.2222222222222222,0.174496644295302,0.2522522522522523,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
