Treatment,ambari,ambari-clni,ambari-clnifarsec,ambari-clnifarsecsq,ambari-farsec,ambari-farsecsq,ambari-farsectwo,camel,camel-clni,camel-clnifarsec,camel-clnifarsecsq,camel-farsec,camel-farsecsq,camel-farsectwo,chromium,chromium-clni,chromium-clnifarsec,chromium-clnifarsecsq,chromium-farsec,chromium-farsecsq,chromium-farsectwo,derby,derby-clni,derby-clnifarsec,derby-clnifarsecsq,derby-farsec,derby-farsecsq,derby-farsectwo,wicket,wicket-clni,wicket-clnifarsec,wicket-clnifarsecsq,wicket-farsec,wicket-farsecsq,wicket-farsectwo
CLAMI,0.0,0.027613412228796843,0.027613412228796843,0.027613412228796843,0.027613412228796843,0.027613412228796843,0.32,0.0,0.0,0.0,0.02531645569620253,0.0,0.015503875968992248,0.03333333333333333,0.011444921316165951,0.011444921316165951,0.012852093820284889,0.012819187428925875,0.011444921316165951,0.008987956138774041,0.011444921316165951,0.17441860465116282,0.0,0.12598425196850394,0.0,0.11267605633802817,0.1306532663316583,0.13173652694610777,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0
CLA+SUP,0.03184713375796178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030973451327433628,0.020905923344947737,0.0233837689133425,0.027522935779816512,0.02194787379972565,0.027746947835738067,0.023586823912159417,0.18421052631578944,0.15037593984962405,0.2033898305084746,0.1951219512195122,0.1948051948051948,0.19469026548672566,0.16842105263157894,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLA,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.062381852551984876,0.046756282875511396,0.062381852551984876,0.062381852551984876,0.062381852551984876,0.062381852551984876,0.062381852551984876,0.2222222222222222,0.15873015873015875,0.19455252918287938,0.15873015873015875,0.15873015873015875,0.15873015873015875,0.15873015873015875,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
