Treatment,ambari,ambari-clni,ambari-clnifarsec,ambari-clnifarsecsq,ambari-farsec,ambari-farsecsq,ambari-farsectwo,camel,camel-clni,camel-clnifarsec,camel-clnifarsecsq,camel-farsec,camel-farsecsq,camel-farsectwo,chromium,chromium-clni,chromium-clnifarsec,chromium-clnifarsecsq,chromium-farsec,chromium-farsecsq,chromium-farsectwo,derby,derby-clni,derby-clnifarsec,derby-clnifarsecsq,derby-farsec,derby-farsecsq,derby-farsectwo,wicket,wicket-clni,wicket-clnifarsec,wicket-clnifarsecsq,wicket-farsec,wicket-farsecsq,wicket-farsectwo
CLAMI,0.0,0.014,0.014,0.014,0.014,0.014,0.2222222222222222,0.0,0.0,0.0,0.01639344262295082,0.0,0.009009009009009009,0.023809523809523808,0.006506180871828237,0.006506180871828237,0.006560065600656006,0.006486712701401967,0.00684931506849315,0.005484024797329518,0.00684931506849315,0.11538461538461539,0.0,0.09411764705882353,0.0,0.13793103448275862,0.12,0.06382978723404255,0.0,0.0,0.0,0.0,0.0,0.00980392156862745,0.0
CLA+SUP,0.013404825737265416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016877637130801686,0.013097072419106317,0.012112403100775194,0.012583892617449664,0.013261000602772756,0.016571724495080268,0.022222222222222223,0.15217391304347827,0.1111111111111111,0.1746031746031746,0.13076923076923078,0.16666666666666666,0.14035087719298245,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLA,0.0,0.006896551724137931,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.03499469777306469,0.02506265664160401,0.03499469777306469,0.03499469777306469,0.03499469777306469,0.03499469777306469,0.03499469777306469,0.16793893129770993,0.23809523809523808,0.14102564102564102,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
