Treatment,ambari,ambari-farsecsq,ambari-farsectwo,ambari-farsec,ambari-clni,ambari-clnifarsecsq,ambari-clnifarsectwo,ambari-clnifarsec,camel,camel-farsecsq,camel-farsectwo,camel-farsec,camel-clni,camel-clnifarsecsq,camel-clnifarsectwo,camel-clnifarsec,chromium,chromium-farsecsq,chromium-farsectwo,chromium-farsec,chromium-clni,chromium-clnifarsecsq,chromium-clnifarsectwo,chromium-clnifarsec,derby,derby-farsecsq,derby-farsectwo,derby-farsec,derby-clni,derby-clnifarsecsq,derby-clnifarsectwo,derby-clnifarsec,wicket,wicket-farsecsq,wicket-farsectwo,wicket-farsec,wicket-clni,wicket-clnifarsecsq,wicket-clnifarsectwo,wicket-clnifarsec
ST,0,0.14285714285714285,0,0,0,0.2857142857142857,0.2857142857142857,0,0,0.05555555555555555,0,0,0,0.0,0.0,0,0,0.008695652173913044,0.0,0,0.0,0.06086956521739131,0,0,0.09523809523809523,0.6904761904761905,0.21428571428571427,0.09523809523809523,0.07142857142857142,1.0,0.23809523809523808,0.16666666666666666,0,0,0,0,0,0,0,0
LS,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
LP,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
CT,0,0.14285714285714285,0,0,0,0.14285714285714285,0.0,0,0,0.05555555555555555,0,0,0,0.05555555555555555,0.05555555555555555,0,0,0.017391304347826087,0.008695652173913044,0,0.008695652173913044,0.02608695652173913,0,0,0.07142857142857142,0.5476190476190477,0.30952380952380953,0.047619047619047616,0.07142857142857142,1.0,0.30952380952380953,0.09523809523809523,0,0,0,0,0,0,0,0
