Treatment,ambari-clnifarsectwo,camel-clnifarsectwo,chromium-clnifarsectwo,derby-clnifarsectwo,wicket-clnifarsectwo
CLAMI,0.028397565922920892,0.06846473029045644,0.02781107648046032,0.0,0.0
CLA+SUP,0.22515212981744423,0.22614107883817428,0.001006952769120115,0.34279475982532753,0.4109311740890688
CLA,0.4462474645030426,0.23236514522821577,0.04363461999520499,0.21615720524017468,0.8340080971659919
