Treatment,ambari,ambari-farsecsq,ambari-farsectwo,ambari-farsec,ambari-clni,ambari-clnifarsecsq,ambari-clnifarsectwo,ambari-clnifarsec,camel,camel-farsecsq,camel-farsectwo,camel-farsec,camel-clni,camel-clnifarsecsq,camel-clnifarsectwo,camel-clnifarsec,chromium,chromium-farsecsq,chromium-farsectwo,chromium-farsec,chromium-clni,chromium-clnifarsecsq,chromium-clnifarsectwo,chromium-clnifarsec,derby,derby-farsecsq,derby-farsectwo,derby-farsec,derby-clni,derby-clnifarsecsq,derby-clnifarsectwo,derby-clnifarsec,wicket,wicket-farsecsq,wicket-farsectwo,wicket-farsec,wicket-clni,wicket-clnifarsecsq,wicket-clnifarsectwo,wicket-clnifarsec
ST,0,0.18181818181818182,0,0,0,0.2,0.26666666666666666,0,0,0.10526315789473684,0,0,0,0.0,0.0,0,0,0.017241379310344827,0.0,0,0.0,0.09271523178807947,0,0,0.16666666666666666,0.20216606498194947,0.2857142857142857,0.17391304347826084,0.13043478260869565,0.15498154981549817,0.31249999999999994,0.2745098039215686,0,0,0,0,0,0,0,0
LS,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
LP,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
CT,0,0.125,0,0,0,0.18181818181818182,0.0,0,0,0.09523809523809525,0,0,0,0.07142857142857142,0.10526315789473684,0,0,0.032,0.016666666666666666,0,0.01694915254237288,0.044117647058823525,0,0,0.1276595744680851,0.1932367149758454,0.24489795918367344,0.08888888888888889,0.1276595744680851,0.15498154981549817,0.28571428571428575,0.16,0,0,0,0,0,0,0,0
