Treatment,ambari,ambari-clni,ambari-clnifarsec,ambari-clnifarsecsq,ambari-farsec,ambari-farsecsq,ambari-farsectwo,camel,camel-clni,camel-clnifarsec,camel-clnifarsecsq,camel-farsec,camel-farsecsq,camel-farsectwo,chromium,chromium-clni,chromium-clnifarsec,chromium-clnifarsecsq,chromium-farsec,chromium-farsecsq,chromium-farsectwo,derby,derby-clni,derby-clnifarsec,derby-clnifarsecsq,derby-farsec,derby-farsecsq,derby-farsectwo,wicket,wicket-clni,wicket-clnifarsec,wicket-clnifarsecsq,wicket-farsec,wicket-farsecsq,wicket-farsectwo
CLAMI,0.0973630831643002,0.028397565922920892,0.028397565922920892,1.0,0.034482758620689655,0.028397565922920892,0.1359026369168357,0.03734439834024896,0.03734439834024896,0.008298755186721992,0.13485477178423236,0.03319502074688797,0.13485477178423236,0.14522821576763487,1.0,0.0,0.02781107648046032,1.0,0.0,1.0,0.02781107648046032,0.0,0.043668122270742356,0.05458515283842795,1.0,0.05458515283842795,0.0,0.16812227074235808,1.0,0.05263157894736842,0.030364372469635626,0.0,0.030364372469635626,0.1700404858299595,0.1700404858299595
CLA+SUP,0.06288032454361055,0.1440162271805274,0.05273833671399594,0.12778904665314403,0.0486815415821501,0.32454361054766734,0.15010141987829614,0.04771784232365145,0.12448132780082988,0.0954356846473029,0.04564315352697095,0.1908713692946058,0.22614107883817428,0.16597510373443983,0.0010549029009829776,0.00201390553824023,4.795013186286262e-05,0.0028290577799088947,0.000767202109805802,0.0038839606808918725,0.000767202109805802,0.03711790393013101,0.039301310043668124,0.021834061135371178,0.4672489082969432,0.04585152838427948,0.4497816593886463,0.3777292576419214,0.018218623481781375,0.03643724696356275,0.048582995951417005,0.23279352226720648,0.12348178137651822,0.048582995951417005,0.14777327935222673
CLA,0.02636916835699797,0.1724137931034483,0.08316430020283976,0.9249492900608519,0.02636916835699797,0.2880324543610548,0.0872210953346856,0.035269709543568464,0.08713692946058091,0.08713692946058091,0.8838174273858921,0.035269709543568464,0.45228215767634855,0.3236514522821577,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.034934497816593885,0.034934497816593885,0.07641921397379912,0.9432314410480349,0.034934497816593885,0.9432314410480349,0.21615720524017468,0.03441295546558704,0.08097165991902834,0.20445344129554655,0.8340080971659919,0.08097165991902834,0.2145748987854251,0.5809716599190283
