Treatment,ambari,ambari-clni,ambari-clnifarsec,ambari-clnifarsecsq,ambari-farsec,ambari-farsecsq,ambari-farsectwo,camel,camel-clni,camel-clnifarsec,camel-clnifarsecsq,camel-farsec,camel-farsecsq,camel-farsectwo,chromium,chromium-clni,chromium-clnifarsec,chromium-clnifarsecsq,chromium-farsec,chromium-farsecsq,chromium-farsectwo,derby,derby-clni,derby-clnifarsec,derby-clnifarsecsq,derby-farsec,derby-farsecsq,derby-farsectwo,wicket,wicket-clni,wicket-clnifarsec,wicket-clnifarsecsq,wicket-farsec,wicket-farsecsq,wicket-farsectwo
CLAMI,0.0,1.0,0.5714285714285714,1.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,1.0,1.0,1.0,0.5217391304347826,0.5217391304347826,0.5217391304347826,1.0,0.2619047619047619,0.0,0.19047619047619047,0.07142857142857142,0.09523809523809523,0.21428571428571427,0.2619047619047619,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
CLA+SUP,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7043478260869566,0.6608695652173913,0.6608695652173913,0.41739130434782606,0.6347826086956522,0.6434782608695652,0.6521739130434783,0.30952380952380953,0.23809523809523808,0.30952380952380953,0.2857142857142857,0.35714285714285715,0.35714285714285715,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLA,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5391304347826087,0.34782608695652173,0.6782608695652174,0.28695652173913044,0.5739130434782609,0.28695652173913044,0.4434782608695652,0.5238095238095238,0.11904761904761904,0.5238095238095238,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
