Treatment,ambari,ambari-farsecsq,ambari-farsectwo,ambari-farsec,ambari-clni,ambari-clnifarsecsq,ambari-clnifarsectwo,ambari-clnifarsec,camel,camel-farsecsq,camel-farsectwo,camel-farsec,camel-clni,camel-clnifarsecsq,camel-clnifarsectwo,camel-clnifarsec,chromium,chromium-farsecsq,chromium-farsectwo,chromium-farsec,chromium-clni,chromium-clnifarsecsq,chromium-clnifarsectwo,chromium-clnifarsec,derby,derby-farsecsq,derby-farsectwo,derby-farsec,derby-clni,derby-clnifarsecsq,derby-clnifarsectwo,derby-clnifarsec,wicket,wicket-farsecsq,wicket-farsectwo,wicket-farsec,wicket-clni,wicket-clnifarsecsq,wicket-clnifarsectwo,wicket-clnifarsec
CLAMI,0.02434077079107505,0.028397565922920892,0.028397565922920892,0.034482758620689655,0.02434077079107505,0.028397565922920892,0.028397565922920892,0.028397565922920892,0.06639004149377593,0.34439834024896265,0.07883817427385892,0.022821576763485476,0.03734439834024896,0.3651452282157676,0.06846473029045644,1.0,0.0,0.4393191081275474,0.02781107648046032,0.02781107648046032,0.0,0.0,1.0,0.02781107648046032,0.0,0.24890829694323144,0.16812227074235808,0.0,1.0,1.0,0.0,0.0,0.0,0.20445344129554655,0.1700404858299595,0.0,0.048582995951417005,0.20445344129554655,0.1902834008097166,0.09716599190283401
CLA+SUP,0.06288032454361055,0.3103448275862069,0.20689655172413793,0.012170385395537525,0.04259634888438134,0.07505070993914807,0.21703853955375255,0.034482758620689655,0.07053941908713693,0.21369294605809128,0.1016597510373444,0.03112033195020747,0.024896265560165973,0.08506224066390042,0.17427385892116182,0.024896265560165973,0.0004315511867657636,0.003356509230400384,4.795013186286262e-05,0.0,0.001150803164708703,0.0004315511867657636,0.0006233517142172141,0.001630304483337329,0.013100436681222707,0.49563318777292575,0.314410480349345,0.004366812227074236,0.043668122270742356,0.5305676855895196,0.3384279475982533,0.002183406113537118,0.024291497975708502,0.0728744939271255,0.09716599190283401,0.02834008097165992,0.048582995951417005,0.22874493927125505,0.3340080971659919,0.0951417004048583
CLA,0.02636916835699797,0.08316430020283976,0.02636916835699797,0.02636916835699797,0.02636916835699797,0.2880324543610548,0.08316430020283976,0.02636916835699797,0.035269709543568464,0.15767634854771784,0.08713692946058091,0.035269709543568464,0.08713692946058091,0.23236514522821577,0.08713692946058091,0.08713692946058091,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.04363461999520499,0.07423580786026202,0.9432314410480349,0.15065502183406113,0.034934497816593885,0.034934497816593885,0.9432314410480349,0.21615720524017468,0.034934497816593885,0.03441295546558704,0.0951417004048583,0.20445344129554655,0.03441295546558704,0.08097165991902834,0.3805668016194332,0.8340080971659919,0.08097165991902834
